obra_nro,obra_id,nombre_obra,estado_obra,categoria_obra,monto_contrato,fecha_inicio,fecha_fin_estimada,fecha_fin_real,ubicacion_ciudad,ubicacion_zona,ubicacion_direccion,total_materiales,total_mano_obra,total_gastos,total_ingresos,resultado_neto,qty_compras,qty_pagos,qty_sectores,qty_trabajadores,qty_proveedores,pct_contrato_ejecutado
47,AUTOTECNIA - D1 TECHO - 17/01/2026,D1 TECHO,ACTIVO,OBRA,,2026-01-17,,,,,,3326500.0,9500000.0,12826500.0,0.0,-12826500.0,13,3,1,1,3,
10,APAMAP - APAMAP DEPOSITO - 30/08/2024,APAMAP DEPOSITO,FINALIZADO,OBRA,,2024-08-30,,2024-10-15,CIUDAD DEL ESTE,AREA 8,,17717976.0,20319000.0,38036976.0,118084556.0,80047580.0,78,14,1,5,6,
12,ALGESA - VICERAS - D6 - 02/12/2024,VICERAS - D6,FINALIZADO,OBRA,,2024-12-02,,2025-01-07,CIUDAD DEL ESTE,KM12,,12867644.0,5600000.0,18467644.0,29700000.0,11232356.0,32,1,1,1,6,
25,AUTOTECNIA - COLOCACION DE TANQUES - 15/07/2025,COLOCACION DE TANQUES,FINALIZADO,OBRA,,2025-07-15,,2025-09-20,CIUDAD DEL ESTE,KM12,,2086740.0,3100000.0,5186740.0,9750000.0,4563260.0,3,3,1,1,2,
17,ALGESA - PORTON - D26 - 06/04/2025,PORTON - D26,FINALIZADO,OBRA,,2025-04-06,,2025-06-26,CIUDAD DEL ESTE,KM12,,9001578.0,9000000.0,18001578.0,33500000.0,15498422.0,26,4,1,2,14,
59,ALGESA - D3 - 07/03/2026,D3,ACTIVO,OBRA,,2026-03-07,,,,,,577000.0,7500000.0,8077000.0,129050000.0,120973000.0,1,4,1,4,1,
28,ALGESA - MUESTRA DE PINTURA - ASTURIAS - 29/01/2025,MUESTRA DE PINTURA - ASTURIAS,FINALIZADO,SERVICIO,,2025-01-29,,2025-01-29,CIUDAD DEL ESTE,KM12,,736486.0,500000.0,1236486.0,0.0,-1236486.0,3,1,1,1,1,
3,ARQ SANCHEZ - CASA DEL ARQ - 07/01/2024,CASA DEL ARQ,ACTIVO,OBRA,,2024-01-07,,,CIUDAD DEL ESTE,,,32103423.0,22430000.0,54533423.0,45900000.0,-8633423.0,64,26,1,8,17,
4,ALGESA - FRANCO - 18/04/2024,FRANCO,ACTIVO,PROYECTO,,2024-04-18,,,PRESIDENTE FRANCO,PENINSULA,,2283810800.0,2532713384.0,4816524184.0,6609900000.0,1793375816.0,2029,841,5,64,188,
40,RALF - REPINTADO COLIBRI - 31/10/2025,REPINTADO COLIBRI,FINALIZADO,SERVICIO,,2025-10-31,,,,,,2591481.0,1650000.0,4241481.0,56150000.0,51908519.0,12,2,1,2,5,
7,ALGESA - CICSA - 27/05/2025,CICSA,ACTIVO,PROYECTO,,2025-05-27,,,PRESIDENTE FRANCO,PENINSULA,,347681067.0,220007000.0,567688067.0,1439650000.0,871961933.0,232,73,1,10,46,
16,ALGESA - MANTENIMIENTO Y REFUERZO DE PISO - D26 - 14/01/2025,MANTENIMIENTO Y REFUERZO DE PISO - D26,FINALIZADO,OBRA,,2025-01-14,,2025-05-26,CIUDAD DEL ESTE,KM12,,40502125.0,10590000.0,51092125.0,0.0,-51092125.0,30,2,2,1,5,
27,ALGESA - D2 - CAMBIO DE TECHO - 28/10/2025,D2 - CAMBIO DE TECHO,FINALIZADO,OBRA,,2025-10-28,,,,,,83020006.0,9000000.0,92020006.0,29600000.0,-62420006.0,53,4,1,1,9,
21,ALGESA - VICERAS - D11 - 06/06/2025,VICERAS - D11,FINALIZADO,OBRA,,2025-06-06,,2025-06-28,CIUDAD DEL ESTE,KM12,,8278257.0,5600000.0,13878257.0,9500000.0,-4378257.0,21,1,1,1,7,
1,ARQ SANCHEZ - OFICINA - 07/01/2024,OFICINA,ACTIVO,OBRA,,2024-01-07,,,CIUDAD DEL ESTE,,,173504854.0,418670000.0,592174854.0,0.0,-592174854.0,142,217,1,11,44,
5,RALF - COLIBRI - 30/04/2024,COLIBRI,FINALIZADO,PROYECTO,,2024-04-30,,2025-04-23,YGUAZU,KM49,,218704008.0,232401000.0,451105008.0,797443160.0,346338152.0,467,120,1,17,65,
