obra_id,rubro_id,rubro_nombre,monto_presupuestado,monto_total_real,desviacion,pct_desviacion,clasificacion
ALGESA - ADM CENTRAL - 22/11/2025,DESCONOCIDO,,0.0,1100000.0,1100000.0,,SIN PRESUPUESTO
ALGESA - ARREGLO DESAGUE - D26 - 10/07/2025,PLOM,PLOMERIA,7750000.0,806000.0,-6944000.0,-89.6,DENTRO DE PRESUPUESTO
ALGESA - CICSA - 27/05/2025,ALB,ALBAÑILERIA,0.0,262473000.0,262473000.0,,SIN PRESUPUESTO
ALGESA - CICSA - 27/05/2025,HORM,,0.0,148812000.0,148812000.0,,SIN PRESUPUESTO
ALGESA - CICSA - 27/05/2025,TECHO,TECHO,800000.0,48458265.0,47658265.0,5957.28,DESVIO SIGNIFICATIVO (>10%)
ALGESA - CICSA - 27/05/2025,ADM,,0.0,30475000.0,30475000.0,,SIN PRESUPUESTO
ALGESA - CICSA - 27/05/2025,GG,GASTOS GENERALES,0.0,22915234.0,22915234.0,,SIN PRESUPUESTO
ALGESA - CICSA - 27/05/2025,GG ALB,,0.0,22308000.0,22308000.0,,SIN PRESUPUESTO
ALGESA - CICSA - 27/05/2025,EXC,,0.0,21020000.0,21020000.0,,SIN PRESUPUESTO
ALGESA - CICSA - 27/05/2025,TECHO VARIOS,,0.0,11226568.0,11226568.0,,SIN PRESUPUESTO
ALGESA - D1 ARREGLO - 21/02/2026,ALB,ALBAÑILERIA,0.0,13805000.0,13805000.0,,SIN PRESUPUESTO
ALGESA - D1 ARREGLO - 21/02/2026,GG,GASTOS GENERALES,0.0,1318000.0,1318000.0,,SIN PRESUPUESTO
ALGESA - D1 ARREGLO - 21/02/2026,PLOM,,0.0,300000.0,300000.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,ALB,ALBAÑILERIA,0.0,283279400.0,283279400.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,PIN,PINTURA,0.0,32484219.0,32484219.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,LOZA SANITARIA,LOZA,0.0,21650000.0,21650000.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,ELEC,ELECTRICIDAD,0.0,19991100.0,19991100.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,PISO,PISO,5800000.0,14627280.0,8827280.0,152.19,DESVIO SIGNIFICATIVO (>10%)
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,GG,GASTOS GENERALES,0.0,14255809.0,14255809.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,CIELO RASO,,0.0,9130000.0,9130000.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,HERR,HERRERIA,0.0,8993000.0,8993000.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,TECHO,,0.0,8500000.0,8500000.0,,SIN PRESUPUESTO
ALGESA - D19 | D20 MURALLA DIVISORIA - 17/12/2025,EXC,,0.0,8100000.0,8100000.0,,SIN PRESUPUESTO
