proveedor_id,qty_compras,qty_obras,total_comprado,promedio_compra,primera_compra,ultima_compra,pct_del_total,pct_acumulado,clasificacion_pareto,ranking
PROVEEDOR 324,319,15,1183257966.0,3709272.620689655,2024-07-03,2026-01-09,16.73,16.73,A (80%),1
PROVEEDOR 160,24,2,763730000.0,31822083.333333332,2025-06-10,2026-02-23,10.8,27.53,A (80%),2
PROVEEDOR 235,126,5,601388300.0,4772923.015873016,2025-04-25,2026-03-09,8.5,36.03,A (80%),3
PROVEEDOR 336,5,1,468409331.0,93681866.2,2025-12-12,2026-03-04,6.62,42.65,A (80%),4
PROVEEDOR 211,153,12,362565880.0,2369711.633986928,2024-05-13,2026-02-12,5.13,47.78,A (80%),5
PROVEEDOR 53,159,7,346565140.0,2179654.9685534593,2024-09-23,2026-02-11,4.9,52.68,A (80%),6
PROVEEDOR 107,543,16,324842000.0,598235.7274401473,2024-05-11,2026-12-17,4.59,57.27,A (80%),7
PROVEEDOR 298,486,23,236007832.0,485612.8230452675,2024-05-28,2026-03-09,3.34,60.61,A (80%),8
PROVEEDOR 105,673,21,222275831.0,330276.1233283804,2024-04-29,2026-03-03,3.14,63.75,A (80%),9
PROVEEDOR 224,30,5,168078800.0,5602626.666666667,2024-06-21,2026-02-17,2.38,66.13,A (80%),10
PROVEEDOR 157,18,1,161767000.0,8987055.555555556,2024-09-23,2024-12-18,2.29,68.42,A (80%),11
PROVEEDOR 47,14,5,153739500.0,10981392.857142856,2024-08-27,2025-06-23,2.17,70.59,A (80%),12
PROVEEDOR 252,6,1,145475800.0,24245966.666666668,2025-03-05,2025-04-15,2.06,72.65,A (80%),13
PROVEEDOR 327,53,5,144843800.0,2732901.886792453,2024-09-03,2026-03-12,2.05,74.7,A (80%),14
PROVEEDOR 104,51,3,144397684.0,2831327.137254902,2024-09-02,2026-01-13,2.04,76.74,A (80%),15
PROVEEDOR 62,37,4,126800000.0,3427027.027027027,2025-01-09,2026-03-05,1.79,78.53,A (80%),16
ELECTRICA ASUNCION,31,5,101516921.0,3274739.3870967743,2025-03-19,2025-12-05,1.44,79.97,A (80%),17
PROVEEDOR 155,14,2,77842753.0,5560196.642857143,2025-04-04,2025-09-17,1.1,81.07,B (15%),18
PROVEEDOR 51,144,11,77062900.0,535159.0277777778,2024-07-03,2026-02-26,1.09,82.16,B (15%),19
PROVEEDOR 182,13,1,58567000.0,4505153.846153846,2024-09-23,2026-03-05,0.83,82.98,B (15%),20
PROVEEDOR 325,19,3,54250000.0,2855263.1578947366,2025-02-05,2026-02-23,0.77,83.75,B (15%),21
PROVEEDOR 310,80,1,53916500.0,673956.25,2024-04-30,2024-11-12,0.76,84.51,B (15%),22
PROVEEDOR 64,82,12,47456600.0,578739.0243902439,2024-09-12,2026-03-03,0.67,85.19,B (15%),23
PROVEEDOR 154,41,7,45748000.0,1115804.8780487804,2025-01-15,2026-02-12,0.65,85.83,B (15%),24
PROVEEDOR 40,30,6,44751026.0,1491700.8666666667,2025-07-22,2026-02-19,0.63,86.46,B (15%),25
PROVEEDOR 281,41,10,43357200.0,1057492.6829268292,2024-07-08,2026-02-25,0.61,87.08,B (15%),26
PROVEEDOR 135,192,9,43098500.0,224471.35416666666,2024-06-27,2026-02-28,0.61,87.69,B (15%),27
PROVEEDOR 216,2,1,33411000.0,16705500.0,2025-09-22,2025-12-27,0.47,88.16,B (15%),28
PROVEEDOR 126,74,8,29256286.0,395355.2162162162,2025-01-07,2026-03-03,0.41,88.57,B (15%),29
PROVEEDOR 312,141,14,28365500.0,201173.75886524824,2024-08-30,2026-01-23,0.4,88.97,B (15%),30
PROVEEDOR 287,105,14,28239546.0,268948.0571428572,2024-05-07,2026-02-26,0.4,89.37,B (15%),31
PROVEEDOR 109,12,1,27279300.0,2273275.0,2024-08-30,2024-10-16,0.39,89.76,B (15%),32
PROVEEDOR 257,1,1,27120100.0,27120100.0,2024-05-08,2024-05-08,0.38,90.14,B (15%),33
PROVEEDOR 88,44,6,25365221.0,576482.2954545454,2024-10-16,2026-03-03,0.36,90.5,B (15%),34
PISOS Y REVESTIMIENTOS SA,21,1,25200000.0,1200000.0,2024-07-02,2026-02-28,0.36,90.86,B (15%),35
PROVEEDOR 321,6,5,21070000.0,3511666.6666666665,2025-01-13,2025-07-22,0.3,91.16,B (15%),36
PROVEEDOR 65,104,6,18659782.0,179420.98076923078,2025-02-19,2026-02-17,0.26,91.42,B (15%),37
PROVEEDOR 70,21,3,18325574.0,872646.380952381,2025-07-07,2026-02-27,0.26,91.68,B (15%),38
PROVEEDOR 280,20,6,18167980.0,908399.0,2024-10-04,2026-03-03,0.26,91.94,B (15%),39
PROVEEDOR 219,53,2,17268400.0,325818.8679245283,2024-09-02,2025-07-01,0.24,92.18,B (15%),40
